"Ano,Bimestre,Funcao,Subfuncao,Despesas_Empenhadas_Bimestre,Despesas_Liquidadas_Bimestre"
"2014,1º Bimestre,URBANISMO,CONTROLE AMBIENTAL,0.0,0.0"
"2014,1º Bimestre,URBANISMO,RECUPERAÇÃO DE AREAS DEGRADADAS,0.0,0.0"
"2014,1º Bimestre,HABITAÇÃO,HABITAÇÃO URBANA,856000.0,0.0"
"2014,1º Bimestre,SANEAMENTO,SANEAMENTO BÁSICO URBANO,50892559.43,15643516.7"
"2014,1º Bimestre,SANEAMENTO,CONTROLE AMBIENTAL,2733015.21,2347349.28"
"2014,1º Bimestre,GESTÃO AMBIENTAL,ADMINISTRAÇÃO GERAL,10048457.02,8628090.38"
"2014,1º Bimestre,GESTÃO AMBIENTAL,VIGILANCIA SANITÁRIA,5810.95,0.0"
"2014,1º Bimestre,GESTÃO AMBIENTAL,INFRA ESTRUTURA URBANA,0.0,0.0"
"2014,1º Bimestre,GESTÃO AMBIENTAL,PRESERVAÇÃO E CONS AMBIENTAL,837058.1,244478.88"
"2014,1º Bimestre,GESTÃO AMBIENTAL,CONTROLE AMBIENTAL,1696776.34,560.24"
"2014,1º Bimestre,GESTÃO AMBIENTAL,RECUPERAÇÃO DE AREAS DEGRADADAS,3176130.73,467517.14"
"2014,1º Bimestre,INDÚSTRIA,PROMOÇÃO INDUSTRIAL,524000.0,524000.0"
"2014,1º Bimestre,COMÉRCIO E SERVIÇOS,ADMINISTRAÇÃO GERAL,4180284.81,4089480.39"
"2014,1º Bimestre,COMÉRCIO E SERVIÇOS,COMUNICAÇÃO SOCIAL,125000.0,0.0"
"2014,1º Bimestre,COMÉRCIO E SERVIÇOS,COMERCIALIZAÇÃO,4743303.97,1572031.44"
"2014,1º Bimestre,COMÉRCIO E SERVIÇOS,TURISMO,56125.75,24219.0"
"2014,1º Bimestre,DESPORTO E LAZER,ADMINISTRAÇÃO GERAL,3857119.6,3052654.0"
"2014,1º Bimestre,DESPORTO E LAZER,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,0.0,0.0"
"2014,1º Bimestre,DESPORTO E LAZER,DESPORTO DE RENDIMENTO,0.0,0.0"
"2014,1º Bimestre,DESPORTO E LAZER,DESPORTO COMUNITÁRIO,118337.54,33671.8"
"2014,1º Bimestre,DESPORTO E LAZER,LAZER,23584.0,19760.0"
"2014,1º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA INTERNA,27718198.31,13252169.05"
"2014,1º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA EXTERNA,8951750.54,8951750.54"
"2014,1º Bimestre,ENCARGOS ESPECIAIS,OUTROS ENCARGOS ESPECIAIS,14247367.92,13340857.02"
"2014,2º Bimestre,LEGISLATIVA,AÇÃO LEGISLATIVA,13563935.13,13910233.91"
"2014,2º Bimestre,ESSENCIAL A JUSTIÇA,DEFESA DO INT. PUB. NO PROC. JUDIC,140645.68,183941.46"
"2014,2º Bimestre,ESSENCIAL A JUSTIÇA,REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL,1403970.68,1403970.68"
"2014,2º Bimestre,ESSENCIAL A JUSTIÇA,ADMINISTRAÇÃO GERAL,3066817.54,3053317.54"
"2014,2º Bimestre,ADMINISTRAÇÃO,PLANEJAMENTO E ORÇAMENTO,600.0,0.0"
"2014,2º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,59104879.7,56143479.45"
"2014,2º Bimestre,ADMINISTRAÇÃO,TECNOLOGIA DA INFORMAÇÃO,8540037.22,3087761.94"
"2014,2º Bimestre,ADMINISTRAÇÃO,FORMAÇÃO DE RECURSOS HUMANOS,122150.3,26560.74"
"2014,2º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO DE RECEITAS,574711.86,797083.01"
"2014,2º Bimestre,ADMINISTRAÇÃO,COMUNICAÇÃO SOCIAL,983119.93,2900000.0"
"2014,2º Bimestre,ADMINISTRAÇÃO,ASSISTENCIA À CRIANÇA E AO ADOLESCENTE,17000.0,8500.0"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,ADMINISTRAÇÃO GERAL,11170782.56,11155899.85"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,POLICIAMENTO,330687.93,948381.63"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,DEFESA CIVIL,0.0,0.0"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,INFORMAÇÃO E INTELIGÊNCIA,33026.21,25579.18"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,68683.5,506189.3"
"2014,2º Bimestre,SEGURANÇA PÚBLICA,ASSISTENCIA COMUNITARIA,60321.73,20232.0"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,ADMINISTRAÇÃO GERAL,3023212.58,3197011.86"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,COMUNICAÇÃO SOCIAL,150000.0,150000.0"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO IDOSO,697.5,697.5"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO PORTADOR DE DEFICIENCIA,189082.93,216097.66"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,4925981.9,5889738.65"
"2014,2º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA COMUNITARIA,15062616.87,15318670.79"
"2014,2º Bimestre,PREVIDENCIA SOCIAL,PREVIDÊNCIA DO ESTATUTÁRIO,84455115.99,84454693.54"
"2014,2º Bimestre,SAÚDE,ATENÇÃO BÁSICA,94771022.34,89996653.49"
"2014,2º Bimestre,SAÚDE,ASSISTENCIA HOSPITALAR E AMBULATORIAL,160976283.9,127094731.34"
"2014,2º Bimestre,SAÚDE,VIGILANCIA SANITARIA,1935488.29,2934092.05"
"2014,2º Bimestre,SAÚDE,VIGILANCIA EPIDEMIOLÓGIA,2231360.04,2222895.04"
"2014,2º Bimestre,TRABALHO,ADMINISTRAÇÃO GERAL,613025.15,571861.97"
"2014,2º Bimestre,TRABALHO,FOMENTO AO TRABALHO,141247.83,51560.98"
"2014,2º Bimestre,EDUCAÇÃO,ENSINO FUNDAMENTAL,106578309.77,104688901.19"
"2014,2º Bimestre,EDUCAÇÃO,EDUCAÇÃO INFANTIL,46555072.37,39519691.53"
"2014,2º Bimestre,CULTURA,ADMINISTRAÇÃO GERAL,5738143.54,5635755.03"
"2014,2º Bimestre,CULTURA,COMUNICAÇÃO SOCIAL,0.0,50000.0"
"2014,2º Bimestre,CULTURA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,82811.22,46311.22"
"2014,2º Bimestre,CULTURA,PAT. HISTORICO, ARTÍSTICO E ARQUEOLÓGICO,2317.78,2317.78"
"2014,2º Bimestre,CULTURA,DIFUSÃO CULTURAL,1774567.38,570092.92"
"2014,2º Bimestre,DIREITO DA CIDADANIA,DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS,0.0,0.0"
"2014,2º Bimestre,URBANISMO,ADMINISTRAÇÃO GERAL,14556595.67,14504691.02"
"2014,2º Bimestre,URBANISMO,NORMATIZAÇÃO E FISCALIZAÇÃO,637368.89,641775.58"
"2014,2º Bimestre,URBANISMO,INFRA-ESTRUTURA URBANA,24456914.59,75203192.0"
"2014,2º Bimestre,URBANISMO,SERVIÇOS URBANOS,14084598.65,18076388.89"
"2014,2º Bimestre,URBANISMO,TRANSPORTES COLETIVOS URBANOS,292446253.26,161796237.24"
"2014,2º Bimestre,URBANISMO,CONTROLE AMBIENTAL,0.0,0.0"
"2014,2º Bimestre,URBANISMO,RECUPERAÇÃO DE AREAS DEGRADADAS,0.0,0.0"
"2014,2º Bimestre,HABITAÇÃO,HABITAÇÃO URBANA,9347986.18,3176060.57"
"2014,2º Bimestre,SANEAMENTO,SANEAMENTO BÁSICO URBANO,27559260.0,43888666.33"
"2014,2º Bimestre,SANEAMENTO,CONTROLE AMBIENTAL,2446354.59,2832020.52"
"2014,2º Bimestre,GESTÃO AMBIENTAL,ADMINISTRAÇÃO GERAL,9487478.86,9463479.11"
"2014,2º Bimestre,GESTÃO AMBIENTAL,VIGILANCIA SANITARIA,11399.65,5588.7"
"2014,2º Bimestre,GESTÃO AMBIENTAL,INFRA-ESTRUTURA URBANA,0.0,0.0"
"2014,2º Bimestre,GESTÃO AMBIENTAL,PRESERVAÇÃO E CONS AMBIENTAL,885394.64,1458850.07"
"2014,2º Bimestre,GESTÃO AMBIENTAL,CONTROLE AMBIENTAL,1683503.36,1778434.43"
"2014,2º Bimestre,GESTÃO AMBIENTAL,RECUPERAÇÃO DE AREAS DEGRADADAS,467517.14,8596490.56"
"2014,2º Bimestre,INDÚSTRIA,PROMOÇÃO INDUSTRIAL,342000.0,342000.0"
"2014,2º Bimestre,COMÉRCIO E SERVIÇOS,ADMINISTRAÇÃO GERAL,3953159.46,3983945.04"
"2014,2º Bimestre,COMÉRCIO E SERVIÇOS,COMUNICAÇÃO SOCIAL,50000.0,10000.0"
"2014,2º Bimestre,COMÉRCIO E SERVIÇOS,COMERCIALIZAÇÃO,4712460.77,4188765.08"
"2014,2º Bimestre,COMÉRCIO E SERVIÇOS,TURISMO,929145.21,480828.55"
"2014,2º Bimestre,DESPORTO E LAZER,ADMINISTRAÇÃO GERAL,3617263.51,3421916.4"
"2014,2º Bimestre,DESPORTO E LAZER,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,45928.15,8314.0"
"2014,2º Bimestre,DESPORTO E LAZER,DESPORTO DE RENDIMENTO,0.0,0.0"
"2014,2º Bimestre,DESPORTO E LAZER,DESPORTO COMUNITÁRIO,140288.69,221903.9"
"2014,2º Bimestre,DESPORTO E LAZER,LAZER,126774.0,100390.0"
"2014,2º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA INTERNA,6563845.16,34282043.47"
"2014,2º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA EXTERNA,12248671.3,21200421.84"
"2014,2º Bimestre,ENCARGOS ESPECIAIS,OUTROS ENCARGOS ESPECIAIS,22246834.7,20457766.18"
"2014,3º Bimestre,LEGISLATIVA,AÇÃO LEGISLATIVA,16664866.18,16197454.53"
"2014,3º Bimestre,ESSENCIAL A JUSTIÇA,DEFESA DO INT. PUB NO PROC. JUDIC,244330.83,313716.68"
"2014,3º Bimestre,ESSENCIAL A JUSTIÇA,REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL,1295141.99,1311201.83"
"2014,3º Bimestre,ESSENCIAL A JUSTIÇA,ADMINISTRAÇÃO GERAL,4229828.86,4243767.16"
"2014,3º Bimestre,ADMINISTRAÇÃO,PLANEJAMENTO E ORÇAMENTO,600.0,600.0"
"2014,3º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,97512800.64,89983771.08"
"2014,3º Bimestre,ADMINISTRAÇÃO,TECNOLOGIA DA INFORMAÇÃO,12103517.01,17080000.0"
"2014,3º Bimestre,ADMINISTRAÇÃO,FORMAÇÃO DE RECURSOS HUMANOS,119578.36,155340.82"
"2014,3º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO DE RECEITAS,616911.93,665517.42"
"2014,3º Bimestre,ADMINISTRAÇÃO,COMUNICAÇÃO SOCIAL,5645250.89,4593193.96"
"2014,3º Bimestre,ADMINISTRAÇÃO,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,8000.0,16000.0"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,ADMINISTRAÇÃO GERAL,14705470.81,14754005.28"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,POLICIAMENTO,727499.16,638817.91"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,DEFESA CIVIL,0.0,0.0"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,INFORMAÇÃO E INTELIGÊNCIA,23524.31,24187.72"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,0.0,356516.79"
"2014,3º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA COMUNITARIA,23229.41,17283.36"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,ADMINISTRAÇÃO GERAL,2277861.54,2819180.57"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,COMUNICAÇÃO SOCIAL,78000.0,113950.0"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO IDOSO,50854.75,50854.75"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO PORTADOR DE DEFICIENCIA,194391.79,224056.83"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,7661905.95,7617484.7"
"2014,3º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA COMUNITARIA,15133262.11,17239821.37"
"2014,3º Bimestre,PREVIDÊNCIA SOCIAL,PREVIDÊNCIA DO ESTATUTÁRIO,113051552.43,113090312.71"
"2014,3º Bimestre,SAÚDE,ATENÇÃO BÁSICA,120510639.92,118345714.4"
"2014,3º Bimestre,SAÚDE,ASSISTENCIA HOSPITALAR E AMBULATORIAL,114757433.97,120651119.9"
"2014,3º Bimestre,SAÚDE,VIGILANCIA SANITARIA,3161032.58,3194892.53"
"2014,3º Bimestre,SAÚDE,VIGILANCIA EPIDEMIOLÓGIA,1533147.57,1533352.82"
"2014,3º Bimestre,TRABALHO,ADMINISTRAÇÃO GERAL,822873.89,759627.34"
"2014,3º Bimestre,TRABALHO,FOMENTO AO TRABALHO,115140.88,30510.95"
"2014,3º Bimestre,EDUCAÇÃO,ENSINO FUNDAMENTAL,140785129.31,129357159.04"
"2014,3º Bimestre,EDUCAÇÃO,EDUCAÇÃO INFANTIL,54002194.51,51976603.91"
"2014,3º Bimestre,CULTURA,ADMINISTRAÇÃO GERAL,6710667.51,6729325.73"
"2014,3º Bimestre,CULTURA,COMUNICAÇÃO SOCIAL,48883.0,48883.0"
"2014,3º Bimestre,CULTURA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,20550.89,33600.01"
"2014,3º Bimestre,CULTURA,PAT. HISTORICO, ARTÍSTICO E ARQUEOLÓGICO,4177438.36,4179756.14"
"2014,3º Bimestre,CULTURA,DIFUSÃO CULTURAL,206458.42,2091862.2"
"2014,3º Bimestre,DIREITO DA CIDADANIA,DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS,0.0,0.0"
"2014,3º Bimestre,URBANISMO,ADMINISTRAÇÃO GERAL,15092764.46,17045519.33"
"2014,3º Bimestre,URBANISMO,NORMATIZAÇÃO E FISCALIZAÇÃO,588462.42,645572.35"
"2014,3º Bimestre,URBANISMO,INFRA-ESTRUTURA URBANA,33423942.36,60918311.2"
"2014,3º Bimestre,URBANISMO,SERVIÇOS URBANOS,23651876.15,16132316.58"
"2014,3º Bimestre,URBANISMO,TRANSPORTES COLETIVOS URBANOS,158880598.46,158789401.11"
"2014,3º Bimestre,URBANISMO,CONTROLE AMBIENTAL,0.0,0.0"
"2014,3º Bimestre,URBANISMO,RECUPERAÇÃO DE AREAS DEGRADADAS,0.0,1743443.6"
"2014,3º Bimestre,HABITAÇÃO,HABITAÇÃO URBANA,1657796.66,1743443.6"
"2014,3º Bimestre,SANEAMENTO,SANEAMENTO BÁSICO URBANO,51200604.48,29139842.2"
"2014,3º Bimestre,SANEAMENTO,CONTROLE AMBIENTAL,611920.62,493650.62"
"2014,3º Bimestre,GESTÃO AMBIENTAL,ADMINISTRAÇÃO GERAL,11913225.47,11704724.02"
"2014,3º Bimestre,GESTÃO AMBIENTAL,VIGILANCIA SANITARIA,19566.08,16742.87"
"2014,3º Bimestre,GESTÃO AMBIENTAL,INFRA-ESTRUTURA URBANA,0.0,0.0"
"2014,3º Bimestre,GESTÃO AMBIENTAL,PRESERVAÇÃO E CONS AMBIENTAL,1305720.04,1864428.42"
"2014,3º Bimestre,GESTÃO AMBIENTAL,CONTROLE AMBIENTAL,3784718.17,3719222.27"
"2014,3º Bimestre,GESTÃO AMBIENTAL,RECUPERAÇÃO DE AREAS DEGRADADAS,538868.34,1126173.55"
"2014,3º Bimestre,INDÚSTRIA,PROMOÇÃO INDUSTRIAL,866000.0,866000.0"
"2014,3º Bimestre,COMÉRCIO E SERVIÇOS,ADMINISTRAÇÃO GERAL,5471726.85,5373926.45"
"2014,3º Bimestre,COMÉRCIO E SERVIÇOS,COMUNICAÇÃO SOCIAL,37554.0,50000.0"
"2014,3º Bimestre,COMÉRCIO E SERVIÇOS,COMERCIALIZAÇÃO,4252838.69,4161581.31"
"2014,3º Bimestre,COMÉRCIO E SERVIÇOS,TURISMO,926960.44,421912.89"
"2014,3º Bimestre,DESPORTO E LAZER,ADMINISTRAÇÃO GERAL,4294697.43,3895467.83"
"2014,3º Bimestre,DESPORTO E LAZER,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,15110.0,30040.4"
"2014,3º Bimestre,DESPORTO E LAZER,DESPORTO DE RENDIMENTO,1396.4,1396.4"
"2014,3º Bimestre,DESPORTO E LAZER,DESPORTO COMUNITÁRIO,154261.56,125140.23"
"2014,3º Bimestre,DESPORTO E LAZER,LAZER,37417.47,3860.65"
"2014,3º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA INTERNA,8240880.54,13485185.61"
"2014,3º Bimestre,ENCARGOS ESPECIAIS,SERVIÇO DA DIVIDA EXTERNA,0.0,0.0"
"2014,3º Bimestre,ENCARGOS ESPECIAIS,OUTROS ENCARGOS ESPECIAIS,16181443.95,14885331.12"
"2014,4º Bimestre,LEGISLATIVA,AÇÃO LEGISLATIVA,14766468.79,14766468.79"
"2014,4º Bimestre,ESSENCIAL A JUSTIÇA,DEFESA DO INT. PUB NO PROC. JUDIC,193327.94,177701.11"
"2014,4º Bimestre,ESSENCIAL A JUSTIÇA,REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL,1647043.82,1457887.21"
"2014,4º Bimestre,ESSENCIAL A JUSTIÇA,ADMINISTRAÇÃO GERAL,3564313.49,3606724.16"
"2014,4º Bimestre,ADMINISTRAÇÃO,PLANEJAMENTO E ORÇAMENTO,0.0,0.0"
"2014,4º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,60243542.45,59025284.51"
"2014,4º Bimestre,ADMINISTRAÇÃO,TECNOLOGIA DA INFORMAÇÃO,0.0,354896.77"
"2014,4º Bimestre,ADMINISTRAÇÃO,FORMAÇÃO DE RECURSOS HUMANOS,101689.48,50388.46"
"2014,4º Bimestre,ADMINISTRAÇÃO,ADMINISTRAÇÃO DE RECEITAS,579329.52,562803.31"
"2014,4º Bimestre,ADMINISTRAÇÃO,COMUNICAÇÃO SOCIAL,860000.0,482834.39"
"2014,4º Bimestre,ADMINISTRAÇÃO,ASSISTENCIA A CRIANÇA E AO ADOLESCENTE,18000.0,16000.0"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,ADMINISTRAÇÃO GERAL,11894291.94,11137498.96"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,POLICIAMENTO,810067.76,1202764.56"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,DEFESA CIVIL,18648.0,18648.0"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,INFORMAÇÃO E INTELIGÊNCIA,17579.16,51036.95"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA A CRIANÇA E AD ADOLESCENTE,9187.4,7097.5"
"2014,4º Bimestre,SEGURANÇA PÚBLICA,ASSISTÊNCIA COMUNITARIA,48679.64,189023.0"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,ADMINISTRAÇÃO GERAL,2302526.71,2321346.06"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,COMUNICAÇÃO SOCIAL,0.0,106000.0"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO IDOSO,59295.29,-180.68"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA AO PORTADOR DE DEFICIENCIA,104424.4,623783.62"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,3714783.39,5447327.75"
"2014,4º Bimestre,ASSISTÊNCIA SOCIAL,ASSISTÊNCIA COMUNITARIA,14891842.04,14360888.71"
"2014,4º Bimestre,PREVIDÊNCIA SOCIAL,PREVIDÊNCIA DO ESTATUTÁRIO,91452711.14,91452711.14"
"2014,4º Bimestre,SAÚDE,ATENÇÃO BÁSICA,99556602.69,94912503.73"
"2014,4º Bimestre,SAÚDE,ASSISTENCIA HOSPITALAR E AMBULATORIAL,141781103.92,131012918.26"
"2014,4º Bimestre,SAÚDE,VIGILANCIA SANITARIA,2562138.5,2568126.6"
"2014,4º Bimestre,SAÚDE,VIGILANCIA EPIDEMIOLÓGIA,1231637.57,1997839.13"
"2014,4º Bimestre,TRABALHO,ADMINISTRAÇÃO GERAL,512763.47,568841.11"
"2014,4º Bimestre,TRABALHO,FOMENTO AO TRABALHO,18032.54,184202.14"
"2014,4º Bimestre,EDUCAÇÃO,ENSINO FUNDAMENTAL,120502940.43,100933108.91"
"2014,4º Bimestre,EDUCAÇÃO,EDUCAÇÃO INFANTIL,45131273.83,48584326.75"
"2014,4º Bimestre,CULTURA,ADMINISTRAÇÃO GERAL,6116332.9,5791170.77"
"2014,4º Bimestre,CULTURA,COMUNICAÇÃO SOCIAL,150000.0,106000.0"
"2014,4º Bimestre,CULTURA,ASSISTÊNCIA A CRIANÇA E AO ADOLESCENTE,69410.6,38960.0"
"2014,4º Bimestre,CULTURA,PAT. HISTORICO, ARTÍSTICO E ARQUEOLÓGICO,973899.94,106361.32"
"2014,4º Bimestre,CULTURA,DIFUSÃO CULTURAL,1027197.64,851132.57"
"2014,4º Bimestre,DIREITO DA CIDADANIA,DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS,5316.5,5316.5"
"2014,4º Bimestre,URBANISMO,ADMINISTRAÇÃO GERAL,15938169.23,15413021.11"
"2014,4º Bimestre,URBANISMO,NORMATIZAÇÃO E FISCALIZAÇÃO,893257.4,588340.39"
"2014,4º Bimestre,URBANISMO,INFRA-ESTRUTURA URBANA,13757181.62,12244784.42"
"2014,4º Bimestre,URBANISMO,SERVIÇOS URBANOS,18783053.12,17073284.34"
"2014,4º Bimestre,URBANISMO,TRANSPORTES COLETIVOS URBANOS,164547317.68,173829244.21"
"2014,4º Bimestre,URBANISMO,CONTROLE AMBIENTAL,0.0,0.0"
